Date,Close,High,Low,Open,Volume
2021-08-30,135.75877380371094,135.9067144637423,134.89722295876933,135.0451636188007,2540300
2021-08-31,136.09815979003906,136.1677812621848,135.18439622666622,135.8370825892271,5291200
2021-09-01,137.4209442138672,137.66461273224706,136.20258834302948,136.4897719423211,4231400
2021-09-02,137.5216827392578,137.8195920697519,136.57537071596354,137.38148539433539,2862500
2021-09-03,137.6443634033203,137.93351543729037,136.6016672908101,136.86453399168798,2035100
2021-09-07,135.40126037597656,137.35521258284274,134.65647361190193,137.1098738918441,4609900
2021-09-08,137.32020568847656,137.34649102864606,135.19977023839434,135.51520769038768,3199100
2021-09-09,136.45272827148438,137.53923785381232,136.16357620433362,137.46038184548686,3560400
2021-09-10,136.21615600585938,136.90835878509577,135.82184923659278,136.6717773975272,3851500
2021-09-13,136.47898864746094,137.9159780284014,136.15479398144203,136.63671400522344,3367200
2021-09-14,135.94451904296875,137.27636730524344,135.65538035381599,137.02227127327504,2808600
2021-09-15,136.7068328857422,137.02227027793808,135.6203233415215,136.0058594175339,3702400
2021-09-16,136.30377197265625,136.79444940084954,134.7703983245736,136.1548172798088,4589900
2021-09-17,135.05079650878906,136.25120477407134,134.7879297741402,136.0146233758916,8127400
2021-09-20,134.59518432617188,135.76930745212823,133.55248790462863,134.84928041135714,5484600
2021-09-21,134.5338134765625,136.79444588691737,134.0343787392512,135.47136832917172,4479800
2021-09-22,134.94561767578125,135.89192972941996,134.45494032277344,135.48010837172657,3001000
2021-09-23,135.05079650878906,135.7517566412427,134.53382036166187,134.66526041396506,2712500
2021-09-24,135.1121063232422,135.4801143542485,134.5425729497705,134.71781295930364,2366100
2021-09-27,133.81532287597656,135.06830172675205,133.52617082503838,134.76163503269515,4482000
2021-09-28,132.35205078125,133.62255767200887,131.51965063695673,133.5086456395416,5910900
2021-09-29,133.4473419189453,134.20964351805742,132.0366374039475,132.60617092995736,3326500
2021-09-30,131.79129028320312,134.43744571876195,131.7562342521598,134.253448350639,4949200
2021-10-01,132.26438903808594,132.8426929989779,131.01141049277336,132.61488236436287,4274300
2021-10-04,131.60731506347656,134.060716470258,130.97644003401956,132.2031474223913,5404900
2021-10-05,132.38710021972656,133.52618049287798,131.49337203752438,132.6236816185248,6103100
2021-10-06,135.77804565429688,135.9532856748997,131.39697828944415,132.16803705408776,5499200
2021-10-07,137.03102111816406,138.22267194676644,136.26871969389592,136.26871969389592,4605100
2021-10-08,136.71559143066406,137.31142356345686,136.24244202311544,137.18875420816966,4186000
2021-10-11,136.89962768554688,137.76707065618984,136.39142215599833,137.03105438717174,2738100
2021-10-12,137.50418090820312,138.31030911000917,136.87331947585133,136.8820767978433,3195400
2021-10-13,138.43295288085938,138.48552354300884,136.7068115005261,137.96856087193262,3599900
2021-10-14,139.54576110839844,139.74729984541676,138.97622766541673,138.9849849874777,3677100
2021-10-15,139.15145874023438,139.896245536158,138.01237855762741,139.896245536158,4313000
2021-10-18,138.52061462402344,139.05510549266972,137.39030488276657,138.61699866164685,3274200
2021-10-19,140.28179931640625,140.33436999194188,138.0386813238727,139.00252160855345,3125800
2021-10-20,141.34197998046875,141.84142803097896,139.9137478745767,140.70234794854727,3716500
2021-10-21,139.4756622314453,141.4471426590135,139.30042220076405,141.4121000008602,4164700
2021-10-22,140.16786193847656,140.60596864869999,139.72975522825314,139.82613923930052,3240300
2021-10-25,139.51072692871094,140.15035909692492,139.13394813787386,140.15035909692492,3281200
2021-10-26,141.2193603515625,141.42088575886945,139.40560494587982,139.46693295246888,3684700
2021-10-27,140.7286376953125,141.80637645659652,139.8086109317968,141.7275204577124,3751800
2021-10-28,141.61361694335938,141.710000959994,140.60597679941645,140.93894219687357,3589600
2021-10-29,141.59609985351562,142.1743905733739,140.99151042961458,141.0966517659604,4558200
2021-11-01,141.29820251464844,141.50849859509563,140.35189020757412,141.2456318370263,3017100
2021-11-02,142.5950164794922,142.65634448358765,141.01782921044466,141.55232008023413,3464500
2021-11-03,143.96192932128906,144.04078535411887,142.07806163837677,142.07806163837677,3595000
2021-11-04,143.9706573486328,144.18971075300234,143.12949976303074,143.89180133184988,3310100
2021-11-05,145.4514617919922,145.8282272332707,144.15466937020628,145.05716833462012,3754300
2021-11-08,142.32334899902344,145.53906423302666,141.20179681532161,145.28495483690054,5766400
2021-11-09,143.26966857910156,143.57634866066226,141.9465909702793,142.21821502368354,3778600
2021-11-10,143.7340850830078,144.57525609214434,142.8491140861747,144.3474453502755,2683500
2021-11-11,142.5511932373047,143.68150290259942,142.42852386766063,143.6727455797529,2453000
2021-11-12,142.51612854003906,143.63768081428915,142.01669376898533,142.83156595279428,3540900
2021-11-15,143.52378845214844,143.59388714361458,142.37595079055185,142.39346543594965,3357100
2021-11-16,143.0944061279297,144.56645157083832,143.02430745255734,143.93557686244253,2899400
2021-11-17,143.14700317382812,143.40986991243167,142.01669357877788,142.48984301229808,3332200
2021-11-18,143.19082641601562,143.2784531249221,141.7275512929961,142.65633557958682,3498900
2021-11-19,143.5325469970703,144.60152865360456,143.20835224499234,144.13713651740048,5242200
2021-11-22,143.83041381835938,146.15238718173202,142.98048581247699,142.9980138227918,4157200
2021-11-23,144.79429626464844,145.20611772301598,143.09443975478388,143.31349315306625,3878000
2021-11-24,143.4712371826172,145.01336849359302,142.45482607381123,144.65411766496953,3309500
2021-11-26,141.19302368164062,143.4010851453809,140.97397033638737,142.56868510740955,3402900
2021-11-29,143.8217010498047,144.2072371764309,141.193060226399,142.53366597673923,5305800
2021-11-30,140.00137329101562,143.69899483752894,138.78343722322745,143.5500401667871,7610000
2021-12-01,140.33433532714844,143.04183140810534,140.23795132248873,142.35838605504736,5385600
2021-12-02,141.68844604492188,142.63233646724834,140.99156567821277,141.25620873327753,4619800
2021-12-03,145.29635620117188,145.44631742697362,142.3235542581779,142.43823603215068,6465900
2021-12-06,146.80482482910156,147.5722775522486,146.24907577562016,146.47843936483065,5403100
2021-12-07,146.63722229003906,147.28119020213492,146.13441259654087,146.80483000797346,5460100
2021-12-08,146.89300537109375,147.04296658478134,144.69648614879696,146.55779003443854,3891900
2021-12-09,146.70777893066406,147.2106020305254,145.41987016524666,146.3637470319234,3644500
2021-12-10,149.05426025390625,149.18657503831508,147.2282354672426,147.79280098122632,5025700
2021-12-13,149.7952423095703,151.07433451458095,148.2426905905584,149.01895971991289,5411800
2021-12-14,149.4247589111328,150.30689339043823,148.46323555916285,149.38947945449434,4985000
2021-12-15,151.34780883789062,151.53304952824448,149.48650467404659,149.75996419048525,5507800
2021-12-16,151.56834411621094,153.10324940872994,150.86263388065007,151.3478105088671,6909900
2021-12-17,148.46322631835938,152.06233638514237,148.2426927122597,150.9420218972712,10159600
2021-12-20,149.45123291015625,149.52180528895104,147.0959352916377,147.45761368534667,5263600
2021-12-21,149.01016235351562,149.6100208298972,148.004529533389,149.28362190262743,3401400
2021-12-22,149.9364013671875,149.95404782599329,148.4367754159959,149.04545037190584,4362900
2021-12-23,149.768798828125,150.51861855975073,149.30126860591753,149.9452230413591,3241700
2021-12-27,151.2595977783203,151.3389866496911,149.75997188000056,149.9540425391094,2868800
